pair,covisibility,fundamental_matrix
77522412_4780460527-40864945_6371463665,0.675,3.57299830e-02 6.76838305e-01 -3.23735176e+02 -8.27868364e-01 1.91557431e-02 -8.37315751e+02 4.10614739e+02 1.00819401e+03 -1.25144726e+05
77522412_4780460527-50095073_6418366613,0.629,-2.62262959e-01 5.39100892e-01 -1.42977043e+03 -1.14264152e+00 1.27334745e-01 -2.35981688e+03 2.26069808e+03 2.80372961e+03 -6.53713220e+05
77522412_4780460527-63623059_8849912061,0.657,-2.48636590e-01 -4.62046204e+00 5.93515095e+03 3.11077166e+00 -2.36430488e+00 -4.26554659e+03 -3.11367228e+03 7.70242010e+03 -1.93707502e+06
77522412_4780460527-39664712_6371434217,0.632,8.36488494e-02 6.54707821e-01 -2.63663626e+02 -8.20208426e-01 9.69900852e-02 -8.69520381e+02 4.03674476e+02 9.75866655e+02 -1.14724863e+05
77411356_5025499049-70216940_11604373513,0.65,1.57857015e-01 2.85268755e+00 -3.41555054e+03 -5.72873182e+00 -2.63792747e+00 1.10775099e+04 6.23830513e+03 -7.57701660e+03 -3.71694798e+05
77411356_5025499049-63027789_7461595968,0.652,-1.96711532e-01 4.76255068e+00 -4.84910976e+03 -1.36402764e+01 -7.21855331e+00 2.02309037e+04 1.56026627e+04 -1.01143510e+04 -3.73489702e+06
77411356_5025499049-27319807_9304439116,0.659,-3.35870488e-01 2.98184339e+00 -2.77749690e+03 -5.30736779e+00 -7.00831496e-01 9.92078298e+03 5.74675264e+03 -8.62227788e+03 -1.85687160e+05
77151900_277624143-70340840_5145139104,0.637,-2.06213141e-01 6.04343590e+00 -6.91888255e+03 -8.06833053e+00 -1.43080001e+00 9.62880154e+03 8.08794070e+03 -6.76043531e+03 4.85107544e+03
77151900_277624143-69868392_3604404326,0.7,-4.37143999e-01 5.94379504e+00 -6.64415142e+03 -6.89521869e+00 -2.23419791e+00 9.37696979e+03 8.73518786e+03 -6.27256666e+03 -1.05121737e+06
77151900_277624143-69759293_4547275305,0.664,-3.95235811e-02 4.72228157e+00 -6.58631038e+03 -4.56587511e+00 -1.18382535e+00 5.31663970e+03 7.42461541e+03 -4.01922381e+03 -3.14954403e+05
77151900_277624143-64212638_4064879957,0.671,-1.26424003e-02 6.65217973e+00 -8.03312938e+03 -7.31914732e+00 -2.32810751e+00 9.58323685e+03 9.02985880e+03 -5.88578676e+03 -1.23158673e+06
77151900_277624143-26362358_4619718880,0.631,4.18321133e-01 5.77659035e+00 -7.50679747e+03 -6.08489606e+00 -2.48216960e+00 8.38592733e+03 9.90243395e+03 -6.47564005e+03 -6.47951862e+05
77151900_277624143-21526113_4379776807,0.639,-3.88381723e+00 2.55347945e+00 1.36326641e+02 -3.26241735e+00 -5.79795400e+00 9.60221662e+03 9.32423466e+03 -2.47402167e+03 -4.69476785e+06
77151900_277624143-63027789_7461595968,0.69,2.73924512e-01 4.50491106e+00 -5.56410998e+03 -7.93603632e+00 -1.73174039e+00 1.01270668e+04 7.72420274e+03 -7.06145312e+03 4.04257297e+05
77151900_277624143-19816447_8133775295,0.64,1.09457732e-01 3.80026798e+00 -5.18735693e+03 -8.69885039e+00 -2.23814337e+00 1.59688752e+04 8.05086648e+03 -9.61991119e+03 6.75662383e+05
77151900_277624143-56240925_168522816,0.648,-3.02376078e+00 2.17208335e+00 6.23748217e+02 -4.18481300e+00 -4.12033305e+00 8.92960024e+03 7.94437813e+03 -3.94710505e+03 -3.63050957e+06
77151900_277624143-42578175_457568876,0.681,3.60832921e-01 6.64689682e+00 -8.39897949e+03 -7.78549075e+00 -1.89945781e+00 9.64330396e+03 8.87454600e+03 -6.38855424e+03 -6.21612229e+05
77151900_277624143-11122557_224876196,0.658,2.55342863e-01 2.98445559e+00 -4.47995390e+03 -3.14124407e+00 -7.70467176e-01 4.86182097e+03 5.52243646e+03 -4.63500685e+03 -1.73857377e+05
77151900_277624143-50095073_6418366613,0.697,-6.34692673e-01 6.40566877e+00 -9.01248247e+03 -6.39519195e+00 -2.07086324e+00 6.35908450e+03 9.20860474e+03 -2.94656726e+03 -5.08910040e+05
77151900_277624143-63623059_8849912061,0.676,-4.17046257e-02 -8.42901980e-01 1.26247295e+03 9.01795165e-01 -8.10667923e-03 -1.97789259e+02 -1.04615643e+03 2.35212633e+02 -1.06157207e+05
77151900_277624143-27210738_2045590131,0.648,-1.76030065e-01 4.52578845e+00 -5.13409909e+03 -5.87147365e+00 -2.29621663e+00 8.92563122e+03 8.25545750e+03 -6.63939575e+03 -9.48406893e+05
77151900_277624143-36009638_559975512,0.683,-6.09822442e-02 -8.15639678e-01 1.08855694e+03 7.92355626e-01 -3.83502043e-02 -8.14648797e+01 -1.16350362e+03 1.40912000e+02 7.77385080e+03
77151900_277624143-40100536_3431142134,0.693,4.96523330e-01 3.55589651e+00 -5.48347592e+03 -7.01521550e+00 -1.84425465e+00 1.28378388e+04 8.07911200e+03 -7.83100492e+03 -1.48916025e+06
77151900_277624143-49809790_3475639998,0.687,-1.80249572e-01 4.69505783e+00 -6.85187099e+03 -4.22878037e+00 -1.01677328e+00 4.03397462e+03 7.54220572e+03 -2.85893740e+03 -2.68781138e+05
77151900_277624143-63287152_2719505336,0.662,-3.49189554e-01 4.45081277e+00 -4.83380845e+03 -6.07789126e+00 -1.92200990e+00 8.64932790e+03 7.60774697e+03 -6.39173718e+03 -5.44728535e+05
77056867_7461601108-68153082_7213226096,0.61,-5.18706612e-02 7.51431523e-01 -7.12008227e+02 -8.09602899e-01 1.40113450e-01 1.51799742e+01 9.08273983e+02 3.76190628e+01 -2.04105539e+05
77056867_7461601108-50095073_6418366613,0.681,-4.81877659e-01 5.61212425e-01 -1.39112545e+03 -6.02720926e-01 6.60042847e-01 -1.67148440e+03 2.02108370e+03 1.22612504e+03 -1.70461389e+04
70340840_5145139104-68127387_81603260,0.673,3.52613230e-03 1.17321381e-01 -1.97114976e+02 -1.37070843e-01 1.01044517e-03 4.79573280e+00 2.36203127e+02 3.17988112e+00 -1.65251735e+04
70340840_5145139104-26362358_4619718880,0.622,6.60193630e-02 9.15301325e-01 -1.18017535e+03 -6.92156805e-01 -8.53828071e-02 6.37851756e+02 1.42248468e+03 -8.47524170e+02 -4.86083968e+04
70340840_5145139104-21526113_4379776807,0.633,-2.09503490e-01 3.59169958e-01 -5.48987746e+02 -1.70942206e-01 -1.07231557e-01 1.88132893e+01 6.03153511e+02 3.45108694e+02 -2.76129318e+04
70340840_5145139104-63027789_7461595968,0.699,-1.68105661e-02 -1.87352710e-01 2.14257463e+02 1.87252158e-01 8.38775803e-03 -6.50887696e+01 -2.00629286e+02 8.67515675e+01 -3.71921900e+04
70340840_5145139104-56240925_168522816,0.662,2.78677918e-02 -9.68821227e-02 2.03761037e+02 6.19019239e-02 7.21470544e-02 -1.85838736e+02 -3.35204053e+02 1.25024759e+01 1.10513386e+05
70340840_5145139104-11122557_224876196,0.67,-1.38055126e-01 -1.28935701e+00 9.26412365e+02 1.17154636e+00 -7.89601726e-02 -8.87836800e+02 -9.89369806e+02 1.19075682e+03 3.84657133e+04
70340840_5145139104-54627819_131932061,0.65,-3.04675525e-01 1.91531384e-02 -6.93759348e+02 -6.11811012e-01 -4.31358757e-02 -1.19654602e+03 1.62804529e+03 1.81305033e+03 -9.07233578e+05
70340840_5145139104-54933845_5249908477,0.687,1.61777433e-01 2.12792885e+00 -2.62386285e+03 -1.75273838e+00 1.47037859e-01 1.36683021e+03 1.07507153e+03 -1.04670043e+03 2.77244496e+05
70340840_5145139104-27210738_2045590131,0.645,-1.17335996e-03 7.06297169e-02 -4.82162037e+01 -8.88392176e-02 -9.76483187e-02 5.27956048e+02 9.32204221e+01 -5.53471585e+02 -5.06432492e+04
70340840_5145139104-35298921_404896411,0.631,7.39281498e-03 1.47535568e-01 -9.23959470e+01 -1.49970242e-01 9.68555461e-02 -3.73130558e+02 1.48879998e+02 3.73086916e+02 2.90966634e+04
70340840_5145139104-36009638_559975512,0.604,-3.29873395e-01 -4.28340833e+00 4.63891939e+03 3.39264266e+00 -9.23855167e-01 -3.21216785e+03 -4.40199165e+03 5.33643075e+03 7.42359673e+04
70216940_11604373513-64099927_10616457153,0.6,1.57208285e-01 -1.23760091e+00 1.07951349e+03 9.93512111e-01 -1.94744298e-01 -1.71565453e+03 -1.11745322e+03 1.56774372e+03 4.19815318e+05
70216940_11604373513-20743436_4630134694,0.632,7.90600325e-02 5.50302507e-01 -8.34268024e+02 -3.37154865e+00 -9.37711545e-01 7.77755965e+03 4.01395372e+03 -5.54847051e+03 -1.03566208e+06
70216940_11604373513-63623059_8849912061,0.658,8.15515143e-02 -7.23528222e-01 7.98867459e+02 6.85734798e-01 -9.78929875e-02 -8.17011937e+02 -8.78133097e+02 7.54232856e+02 2.54697204e+05
69868392_3604404326-68127387_81603260,0.601,-1.39235439e-03 -3.87241837e-02 -5.28457637e+00 3.32539378e-02 -5.27698657e-02 -1.57813589e+02 3.89634220e+01 2.49383454e+02 -9.44935908e+04
69868392_3604404326-64693381_4135965169,0.605,-4.80852823e-01 -4.84087571e+00 6.46663927e+03 5.18121067e+00 -6.32294971e-01 -2.16631588e+03 -6.33792937e+03 3.11148183e+03 -3.39932622e+05
69868392_3604404326-26362358_4619718880,0.695,1.02434703e-01 7.34754274e-01 -1.21972493e+03 -6.56406736e-01 -1.08376969e-02 5.47318032e+02 1.30986383e+03 -7.19569803e+02 5.47227457e+04
69868392_3604404326-63135281_5801848783,0.653,-2.16427765e-01 -3.74397277e-01 5.60884794e+01 3.22340037e-01 -5.01869279e-03 3.72766764e+02 -7.52886389e+01 -3.86952828e+02 2.27707885e+05
69868392_3604404326-56240925_168522816,0.679,8.70462996e-02 -1.78326051e-01 3.13797323e+02 1.96647716e-01 1.40313917e-01 -5.03337851e+02 -6.39907157e+02 1.77170097e+02 2.23482940e+05
69868392_3604404326-06788497_3085353292,0.672,-3.02688611e-01 -1.68355513e+00 1.40111111e+03 1.17408438e+00 -2.97107762e-01 -3.10456057e+03 -3.30570375e+02 3.19050161e+03 -1.86242641e+05
69868392_3604404326-35298921_404896411,0.662,-2.44443504e-03 1.06619783e-02 1.17751839e+02 -3.06270086e-04 3.43084177e-02 -6.15568617e+02 -9.85354209e+01 6.79461860e+02 -2.63691696e+04
69868392_3604404326-36009638_559975512,0.612,-5.53444123e-01 -4.39273070e+00 6.02930938e+03 4.01331401e+00 -1.55958069e+00 -3.59420613e+03 -5.09836636e+03 6.31149657e+03 -6.34410056e+05
69868392_3604404326-40100536_3431142134,0.672,-1.89668450e-02 -1.71869465e+00 1.34894275e+03 1.51364330e+00 1.62148666e-01 9.77085235e+02 -1.05053294e+03 -7.97857605e+02 -1.34731269e+05
69868392_3604404326-49331387_5131734970,0.635,-4.91701860e-01 -5.02312236e+00 6.72810586e+03 4.59885888e+00 -1.66720186e+00 -4.15917443e+03 -5.25155327e+03 6.50076770e+03 -8.03780104e+05
69759293_4547275305-64693381_4135965169,0.604,-4.69750331e-01 -4.49505650e+00 7.65042501e+03 4.97172590e+00 -9.49795719e-05 -4.35706755e+02 -7.17347089e+03 6.67457609e+02 -5.00980937e+05
69759293_4547275305-63027789_7461595968,0.64,-3.69359522e-01 2.93069648e-01 1.04413665e+03 -7.71753799e-01 2.31898979e-01 2.05532852e+03 -1.36380989e+02 -1.93718430e+03 -2.93646827e+05
69759293_4547275305-50095073_6418366613,0.638,-7.03415174e-02 7.26525342e-01 -1.67661682e+03 -7.69264687e-01 -1.48479391e-01 -6.06094105e+02 1.38392723e+03 7.56701684e+02 1.79456585e+04
69759293_4547275305-34169301_5802403584,0.612,7.70613302e-02 1.91570989e+00 -1.69955564e+03 -1.86341685e+00 -2.44849177e-01 2.02312706e+03 1.69399848e+03 -2.20757017e+03 2.21527446e+05
69759293_4547275305-36009638_559975512,0.69,-3.78257626e-01 -3.93296127e+00 6.71535196e+03 4.17930300e+00 -1.11171107e+00 -2.91038844e+03 -6.43459204e+03 4.64478476e+03 -2.10824064e+05
69759293_4547275305-40100536_3431142134,0.666,-1.23042310e-01 -1.06862463e+00 1.76928700e+03 2.08177751e-01 4.88234434e-01 3.98966969e+03 -5.62485449e+02 -3.25070758e+03 -5.59988176e+05
69759293_4547275305-49331387_5131734970,0.626,-2.79526645e-01 -4.45369461e+00 7.50326798e+03 4.76115471e+00 -1.14684739e+00 -3.34680738e+03 -6.57811197e+03 4.73353403e+03 -4.65362317e+05
69305986_4941166067-64693381_4135965169,0.645,3.93743586e-02 -1.26468486e+00 1.01806420e+03 1.36219564e+00 5.20931400e-01 1.97557826e+02 -1.99059817e+03 -1.32845792e+03 1.60005114e+05
69305986_4941166067-63027789_7461595968,0.677,-1.66860803e-01 3.70300624e-01 -5.54499760e+01 -1.11905313e+00 1.41550004e-01 8.54380021e+02 1.00970487e+03 -1.74070931e+03 7.37025726e+04
69305986_4941166067-06788497_3085353292,0.638,-3.57048800e-02 3.97343453e-01 -2.78482002e+02 -4.41578728e-01 3.64714420e-03 1.90852137e+02 5.95652622e+02 -3.51541961e+02 -8.57588294e+02
69305986_4941166067-50095073_6418366613,0.671,-2.04700396e-01 7.29166033e-01 -5.52480336e+02 -9.05552552e-01 -2.09980320e-01 4.49559651e+02 1.40142885e+03 -4.14282189e+02 -7.31201076e+04
69305986_4941166067-63623059_8849912061,0.64,1.15503235e-01 -1.29481897e+00 1.07123478e+03 1.82529758e+00 -3.08290747e-02 -3.86623614e+02 -2.18242296e+03 5.89393830e+02 -6.00143686e+03
69305986_4941166067-49331387_5131734970,0.651,9.38502337e-02 -1.12644251e+00 9.18556299e+02 1.45461596e+00 7.78672706e-03 -2.79912353e+02 -2.16043728e+03 4.12363042e+02 6.34026649e+04
68153082_7213226096-27632173_1671275972,0.687,3.54272831e-02 -1.73570631e+00 1.33517145e+03 1.27100707e+00 -1.80046771e-01 1.08069355e+03 -1.38153025e+03 -8.03250681e+02 -4.21392791e+05
68153082_7213226096-06788497_3085353292,0.623,-1.22135571e-01 -1.78317067e+00 1.18296692e+03 1.44117897e+00 2.79117605e-01 -2.40068582e+03 -1.03377124e+03 2.12929233e+03 4.25207376e+05
68153082_7213226096-11122557_224876196,0.6,-5.91517350e-02 -1.65451374e+00 1.23908373e+03 1.51146118e+00 -2.83045440e-02 -6.68220665e+02 -1.69347446e+03 8.75646774e+02 1.30410922e+05
68153082_7213226096-40864945_6371463665,0.696,4.30502305e-02 -7.20130254e-01 9.04602284e+02 5.62559724e-01 2.45364170e-03 2.53096108e+02 -8.59321718e+02 -2.07496251e+02 -1.36213410e+05
68153082_7213226096-50095073_6418366613,0.643,6.35903388e-02 -3.34782703e-01 -8.17526201e+02 5.23082379e-01 4.08163954e-01 -1.81125900e+03 4.06119080e+02 1.48041945e+03 4.01776727e+05
68153082_7213226096-54627819_131932061,0.633,-1.50674981e-01 -2.42819866e-01 -3.84404431e+02 -3.39556462e-02 2.37360834e-02 -1.18008496e+03 8.65743622e+02 1.58919189e+03 -4.95145968e+05
68153082_7213226096-54933845_5249908477,0.69,9.03810286e-02 1.26739470e+00 -1.40726513e+03 -1.07412633e+00 -3.48826810e-01 2.03827460e+03 5.91929617e+02 -1.03270445e+03 9.94215704e+04
68153082_7213226096-27210738_2045590131,0.603,-1.61114910e-02 -3.74790285e-01 4.87790767e+02 1.70051383e-01 -1.78181828e-01 7.23446329e+02 -4.06144582e+02 -6.45615536e+02 -2.06344104e+05
68153082_7213226096-39664712_6371434217,0.668,1.74292877e-02 -7.12336501e-01 8.82274486e+02 5.47054948e-01 -5.52719146e-02 3.20332655e+02 -8.51534732e+02 -1.90742663e+02 -1.58942031e+05
68153082_7213226096-40100536_3431142134,0.653,9.93152622e-02 -2.02275429e+00 1.37061636e+03 1.52295598e+00 -1.30243946e-01 1.45910040e+03 -1.18220139e+03 -8.66111018e+02 -5.20176690e+05
68153082_7213226096-63287152_2719505336,0.656,3.33473786e-03 -6.87039826e-01 8.03898571e+02 5.24259354e-01 2.73433543e-04 2.12564677e+02 -8.45660582e+02 -1.97978257e+02 -1.12132090e+05
68127387_81603260-64212638_4064879957,0.635,-6.40182191e-03 2.08973983e-01 -2.59139744e+02 -1.58879732e-01 -1.02894206e-02 9.63379189e+01 2.44218979e+02 -8.11920805e+01 -2.62279679e+04
68127387_81603260-26362358_4619718880,0.677,3.21016256e-02 1.15685808e+00 -1.43690368e+03 -8.27028731e-01 -2.52836215e-01 1.11237114e+03 1.63143153e+03 -1.00007327e+03 -3.73144671e+05
68127387_81603260-63135281_5801848783,0.669,-2.16507086e-01 -3.20049867e-01 -2.98799524e+02 3.77022837e-01 -8.87808339e-02 9.06515047e+02 -1.08009146e+02 -7.60908610e+02 2.10309183e+05
68127387_81603260-56240925_168522816,0.619,9.64973094e-02 -3.16930070e-01 6.15260632e+02 1.73061523e-01 2.22623791e-01 -4.71368408e+02 -7.82898066e+02 -6.69586022e+01 2.60683365e+05
68127387_81603260-42578175_457568876,0.619,7.19241528e-04 4.97466901e-02 -1.26820662e+02 -2.60619776e-02 -7.08874143e-03 4.63117874e+01 9.39909344e+01 -3.82148600e+01 -5.42767780e+03
68127387_81603260-27210738_2045590131,0.634,-7.33445230e-03 -9.61611332e-02 2.73634272e+02 -3.31192142e-03 -2.25842303e-01 9.43360383e+02 -1.53671497e+02 -6.53551401e+02 -3.84146513e+05
68127387_81603260-63287152_2719505336,0.631,1.91761447e-02 -4.96286576e-01 7.01565181e+02 3.84623295e-01 -8.51265936e-03 1.05830946e+02 -6.88219292e+02 -4.98469809e+01 -9.79830715e+04
64693381_4135965169-64223960_5316591967,0.626,4.12178299e-01 4.77965446e+00 -7.23995940e+03 -4.81408554e+00 -6.17524224e-01 5.23164494e+03 7.49070005e+03 -4.95653713e+03 3.62440319e+05
64693381_4135965169-27632173_1671275972,0.606,1.18998611e-01 4.28236285e+00 -6.17760249e+03 -4.40725834e+00 -8.25749158e-01 5.11912038e+03 6.95669431e+03 -4.40845935e+03 1.72285207e+04
64693381_4135965169-56240925_168522816,0.627,-3.07894892e+00 4.23532808e+00 -3.72082566e+03 -4.11311700e+00 -3.92712709e+00 6.66325388e+03 8.28948268e+03 -4.55704908e+02 -3.26945156e+06
64693381_4135965169-42578175_457568876,0.603,5.86671799e-02 8.30138610e+00 -1.07241988e+04 -7.82779562e+00 -3.58153392e-01 3.90116913e+03 9.39031374e+03 -3.35812086e+03 2.01599698e+05
64693381_4135965169-06788497_3085353292,0.65,-2.98989103e-01 5.74901627e+00 -8.36083815e+03 -5.82783129e+00 9.22592256e-01 -2.08168305e+03 8.30581812e+03 8.83939234e+02 -2.16303704e+05
64693381_4135965169-05907640_5576489463,0.623,-4.44137264e-01 8.22110209e+00 -1.00620430e+04 -8.21102118e+00 -4.35895744e-01 4.31700859e+03 8.92685767e+03 -3.04347244e+03 -3.01046729e+05
64693381_4135965169-40864945_6371463665,0.649,-1.04142896e+00 7.60268143e+00 -8.95960418e+03 -7.40086985e+00 -1.33385538e+00 5.26869232e+03 8.87273116e+03 -3.08906583e+03 -4.78520350e+05
64693381_4135965169-63623059_8849912061,0.697,2.12699593e-02 -5.06877276e-01 7.34091924e+02 -6.74935582e-01 -6.98499686e-01 -5.10957400e+03 5.64657885e+02 5.57300953e+03 -1.13062247e+06
64693381_4135965169-36009638_559975512,0.666,8.22172583e-03 -5.14909357e-01 7.72381351e+02 -2.78381993e-01 -8.57171182e-02 -4.07453730e+03 3.79787055e+02 5.22880741e+03 -8.82876441e+05
64693381_4135965169-39664712_6371434217,0.649,-6.66440599e-01 7.65520092e+00 -9.20879829e+03 -7.28669468e+00 -9.10076962e-01 4.69386331e+03 8.80235026e+03 -3.25158898e+03 -2.51144751e+05
64693381_4135965169-40100536_3431142134,0.632,1.15521216e-01 5.91291370e+00 -8.67991479e+03 -6.38959978e+00 -8.81828253e-01 6.86545454e+03 8.02953423e+03 -4.78639334e+03 -7.52437604e+04
64693381_4135965169-49809790_3475639998,0.653,-7.67325930e-01 5.22766613e+00 -7.92694463e+03 -4.80095383e+00 1.27065603e-01 -3.42252619e+02 8.80099559e+03 7.39118171e+02 -8.42093738e+05
64602886_907577570-27632173_1671275972,0.653,7.49520832e-02 -1.29624013e+00 1.03944862e+03 1.12294586e+00 4.08267127e-01 1.19976754e+03 -7.94899917e+02 -1.47965777e+03 1.38018187e+04
64602886_907577570-27034168_3934048864,0.625,-7.67960079e-02 -8.88254476e-01 2.32925371e+02 7.55705193e-01 -2.25248561e-01 -1.85120628e+03 2.10651768e+02 2.23759974e+03 -6.29135654e+05
64602886_907577570-62920559_282422375,0.611,-2.01516918e-02 -4.92719589e+00 7.54364807e+03 4.78799920e+00 -2.55329530e+00 -6.67816855e+03 -5.42031880e+03 7.72109309e+03 2.07942675e+05
64602886_907577570-12447860_7511693888,0.642,1.63397553e-01 -1.19810183e+00 9.42796598e+02 8.43375233e-01 3.01071080e-01 1.55859292e+03 -5.95133462e+02 -2.12492000e+03 -1.24396272e+05
64602886_907577570-27210738_2045590131,0.684,-7.44575292e-03 2.75598037e-01 -4.70810384e+02 -3.71084666e-01 6.58336436e-02 9.99447878e+02 5.88144200e+02 -9.34161814e+02 -9.89578213e+04
64602886_907577570-35298921_404896411,0.655,3.71019015e-03 3.75498177e-01 -5.53732271e+02 -4.05203171e-01 -6.71669528e-02 -4.17865966e+02 5.58017066e+02 5.21315609e+02 -6.23196058e+04
64602886_907577570-63287152_2719505336,0.647,-3.86198389e-04 1.29947071e-02 -3.14451071e+01 -3.33885263e-02 4.21567478e-02 2.40087512e+02 6.28796283e+01 -2.42870780e+02 -4.83729606e+03
64223960_5316591967-06788497_3085353292,0.656,2.45049420e-02 -9.95980910e-01 1.20126441e+03 -8.18117568e-01 -6.23038218e-02 -5.77892535e+03 7.64568038e+02 5.37075061e+03 -7.32910958e+04
64223960_5316591967-10875736_10366156803,0.651,2.65730744e-02 7.13745563e-01 -4.80851580e+02 -1.35360005e+00 2.76550934e-01 -1.98472673e+03 1.17120400e+03 2.77299222e+03 -4.59967206e+05
64223960_5316591967-34169301_5802403584,0.603,-5.67013789e-04 2.20863995e+00 -2.13630687e+03 -2.19720679e+00 6.32671362e-01 -1.55915276e+03 2.45621468e+03 9.12977854e+02 1.75959573e+05
64223960_5316591967-36009638_559975512,0.628,4.10927887e-01 -4.52631849e+00 7.05948784e+03 3.03782610e+00 -1.59502647e+00 -6.25858624e+03 -5.39256700e+03 9.03947105e+03 -2.76498590e+05
64223960_5316591967-40100536_3431142134,0.66,1.35131471e-02 -2.00500746e-01 2.25548730e+02 2.08609539e-01 -9.20350891e-03 -4.38458635e+02 -2.20503327e+02 3.48050132e+02 3.36664162e+04
64223960_5316591967-40533611_1359502142,0.626,-9.61578935e-02 1.47791998e+00 -1.41725632e+03 -1.58420020e+00 3.46350218e-01 -1.45289088e+03 1.91398388e+03 1.54319085e+03 -3.41862205e+04
64223960_5316591967-49331387_5131734970,0.659,5.82748984e-01 -5.16989815e+00 7.81773034e+03 3.45612768e+00 -1.72626381e+00 -7.20788552e+03 -5.54482883e+03 9.22052921e+03 -3.79983829e+05
64223960_5316591967-49809790_3475639998,0.617,-2.06422326e-01 -3.08897398e-01 -4.99644034e+02 -8.45867148e-01 1.70095517e-01 -4.38196577e+03 1.50633187e+03 4.69680213e+03 -3.25397733e+05
64212638_4064879957-63135281_5801848783,0.648,-2.39005582e-01 -4.41764213e-01 1.65156048e+02 4.16192064e-01 6.96109794e-02 4.52890682e+02 -2.12492510e+02 -5.21152059e+02 2.82721003e+05
64212638_4064879957-56240925_168522816,0.696,1.10922066e-01 -2.04390349e-01 4.61640194e+02 2.13905663e-01 1.59007360e-01 -4.16876907e+02 -7.76709476e+02 -3.91086578e+01 2.41804762e+05
64212638_4064879957-06788497_3085353292,0.682,-1.80929937e-01 -1.56576498e+00 1.35215639e+03 1.12886515e+00 -3.29910249e-01 -2.36609271e+03 -6.18426029e+02 2.77920007e+03 -2.65662117e+05
64212638_4064879957-35298921_404896411,0.657,-3.69490513e-03 -4.13158502e-02 2.43091487e+02 4.28479989e-02 5.34688893e-03 -3.74886744e+02 -2.95253384e+02 4.71308373e+02 -3.82469061e+04
64212638_4064879957-36009638_559975512,0.614,-2.63988750e-01 -3.92278704e+00 5.21393251e+03 3.77052299e+00 -1.35148675e+00 -2.82336238e+03 -5.10893619e+03 5.39426680e+03 -6.23361713e+05
64212638_4064879957-40100536_3431142134,0.63,4.45180811e-02 -1.65291015e+00 1.41009704e+03 1.48869983e+00 3.05986068e-01 8.90401127e+02 -1.12515393e+03 -9.66249508e+02 -6.11719303e+04
64212638_4064879957-49331387_5131734970,0.611,-1.71234780e-01 -4.48289268e+00 5.82698542e+03 4.31758735e+00 -1.43570269e+00 -3.27651972e+03 -5.26469742e+03 5.55488509e+03 -7.78690176e+05
64099927_10616457153-53822146_6393351439,0.608,3.22671869e-01 9.90395235e+00 -9.27712651e+03 -1.20940357e+01 -2.37620782e+00 1.18200212e+04 7.43124540e+03 -9.56106597e+03 2.77404525e+06
64099927_10616457153-12201840_2095020348,0.609,5.62215489e-01 1.14353260e+01 -1.10579799e+04 -1.46899510e+01 -1.56401824e+00 1.23490694e+04 1.03250137e+04 -8.27454206e+03 4.30515266e+04
64099927_10616457153-40103707_6393354149,0.606,1.33652915e-01 1.02446602e+01 -9.48217118e+03 -1.37666540e+01 -9.76327869e-01 1.14856604e+04 9.84811841e+03 -8.35097486e+03 6.86540763e+04
27632173_1671275972-25930528_6781762,0.648,8.65404735e-02 1.62426506e+00 -1.55785490e+03 -1.58909379e+00 5.73110502e-01 -1.37437829e+03 1.84704291e+03 7.20788946e+02 2.29623966e+05
27632173_1671275972-06788497_3085353292,0.645,-1.02718293e-01 -5.21006704e-01 4.13515480e+02 -1.27732950e+00 1.08212771e-01 -5.54684012e+03 1.81377267e+03 4.91578018e+03 -3.49954816e+05
27632173_1671275972-10875736_10366156803,0.608,7.06666579e-03 1.05387979e+00 -1.06798147e+03 -1.60914702e+00 3.93844994e-01 -1.75818474e+03 1.98339993e+03 2.34935501e+03 -7.21658953e+05
27034168_3934048864-25930528_6781762,0.617,-7.12803695e-02 1.58555586e+00 -7.12267158e+02 -1.68485563e+00 -4.56915786e-01 3.22363447e+03 1.32990760e+03 -2.65067479e+03 -9.52149911e+05
27034168_3934048864-21526113_4379776807,0.668,-1.41661346e+00 1.16462705e+00 1.02861167e+03 -1.20815694e+00 -1.60086051e+00 2.51490707e+03 1.94976211e+03 -1.08771783e+03 -1.74099252e+06
27034168_3934048864-21196047_2425535608,0.606,9.59882357e-02 -2.48844460e+00 4.18217507e+03 2.52642143e+00 -1.24163206e+00 -3.63245564e+03 -4.70783132e+03 6.58618840e+03 -7.91927149e+05
27034168_3934048864-11122557_224876196,0.618,-2.16635433e-02 -6.25478731e-01 1.12195777e+03 6.32370429e-01 1.86159970e-03 8.43295230e+02 -1.18537366e+03 -8.41648707e+02 -3.84257722e+04
27034168_3934048864-10875736_10366156803,0.607,-2.98005791e-02 1.53463935e+00 -7.92815285e+02 -1.48044703e+00 -3.82311838e-02 1.69407249e+03 1.13486614e+03 -1.28556294e+03 -5.90483386e+05
26362358_4619718880-06788497_3085353292,0.601,-9.09705479e-02 -2.95241208e+00 3.97595410e+03 2.24638944e+00 -9.62763746e-01 -4.66374405e+03 -2.17614262e+03 4.68487233e+03 -2.32370790e+05
26362358_4619718880-05907640_5576489463,0.6,1.55592027e-01 -1.23983507e+00 2.61865657e+03 1.53848667e+00 -1.66806482e-01 -1.32814288e+03 -2.12817055e+03 1.02938708e+03 3.94004239e+04
26362358_4619718880-12447860_7511693888,0.686,1.52203618e-01 -2.00272770e+00 2.76690539e+03 1.84783035e+00 3.57092519e-01 3.01261997e+02 -2.92255945e+03 -1.01224156e+03 1.27301197e+05
